ContactId__c,FirstName__c,LastName__c,Email__c,Phone__c,Title__c,AccountId__c,LeadSource__c,City__c,State__c
003g700000F6NGMAA3,Hollie,Everhart,heverhart@example.com,(579) 555-5933,VP of Marketing,001g700000KkMdGAAV,Data.com,Hakalau,HI
003g700000F6NGNAA3,Brad,Owens,bowens@example.com,(500) 555-1311,Regional Sales Manager,001g700000KkMdHAAV,Data.com,Cook,IL
003g700000F6NGOAA3,Leo,Novak,lnovak@example.com,(656) 555-4875,Marketing Manager,001g700000KkMdIAAV,Referral,Clark,NV
003g700000F6NGPAA3,Sean,Silver,ssilver@example.com,(792) 555-0197,Account Executive,001g700000KkMdJAAV,Social Media,Providence,Rhode Island
003g700000F6NGQAA3,Sienna,Competente,scompetente@example.com,(672) 555-2472,"VP, Consulting",001g700000KkMdKAAV,Social Media,Richmond (city),VA
003g700000F6NGRAA3,Gabriel,Silva,rlloyd@example.com,(632) 555-9279,Sales Manager,001g700000KkMdLAAV,Marketing Event,13087Campinas,SP
003g700000F6NGSAA3,David,Harris,dharris@example.com,(692) 555-3263,Director of Business Development,001g700000KkMdMAAV,Data.com,Santa Cruz,CA
003g700000F6NGTAA3,Tom,Davis,tdavis@example.com,(643) 555-5886,Development Director,001g700000KkMdMAAV,Data.com,Santa Cruz,CA
003g700000F6NGUAA3,May,Chan,mchan@example.com,(537) 555-2247,CFO,001g700000KkMdNAAV,Referral,San Jose,CA
003g700000F6NGVAA3,Ron,Adkins,radkins@example.com,(258) 555-2156,General Manager,001g700000KkMdNAAV,Referral,Sedgwick,KS
003g700000F6NGWAA3,Sandy,Knudson,sknudson@example.com,(624) 555-5001,Account Executive,001g700000KkMdOAAV,Social Media,Orange,CA
003g700000F6NGXAA3,Larry,Kuchenreuther,lkuchenreuther@example.com,(446) 555-9042,Account Manager,001g700000KkMdPAAV,Marketing Event,Los Angeles,CA
003g700000F6NGYAA3,Susan,Johanson,sjohanson@example.com,(390) 555-5353,VP of Operations,001g700000KkMdQAAV,Cold Call,Sydney,NSW
003g700000F6NGZAA3,Mark,Dillon,mdillon@example.com,(765) 555-3929,Head of Partner Relations,001g700000KkMdQAAV,Marketing Event,Sydney,NSW
003g700000F6NGaAAN,Stella,Pavlova,spavlova@example.com,(842) 555-9587,"VP, Product Management",001g700000KkMdQAAV,Data.com,Sydney,NSW
003g700000F6NGbAAN,Allison,Yates,ayates@example.com,(239) 555-1562,Owner,001g700000KkMdQAAV,Social Media,Sydney,NSW
003g700000F6NGcAAN,Thomas,Simes,tsimes@example.com,(519) 555-7883,CEO,001g700000KkMdRAAV,Referral,Clark,NV
003g700000F6NGdAAN,Michael,Basch,mbasch@example.com,(753) 555-5337,"VP, Procurement",001g700000KkMdRAAV,Social Media,Clark,NV
003g700000F6NGeAAN,Tammy,Reseller,treseller@example.com,(573) 555-9103,Account Executive,001g700000KkMdRAAV,Referral,Clark,NV
003g700000F6NGfAAN,Sean,Forbes,sforbes@example.com,(237) 555-2784,CFO,001g700000KkMdRAAV,Cold Call,Clark,NV
003g700000F6NGgAAN,Jeannie,Rogers,jrogers@example.com,(875) 555-9710,"VP, Facilities",001g700000KkMdRAAV,Social Media,Clark,NV
003g700000F6NGhAAN,Tom,James,tjames@example.com,(932) 555-2450,"SVP, Operations",001g700000KkMdRAAV,Social Media,Clark,NV
003g700000F6NGiAAN,Alex,Johnson,ajohnson@example.com,(526) 555-3205,"Senior Director, Services",001g700000KkMdRAAV,Cold Call,Clark,NV
003g700000F6NGjAAN,Rose,Gonzalez,rgonzalez@example.com,(776) 555-1601,SVP of Marketing,001g700000KkMdRAAV,Marketing Event,Clark,NV
003g700000F6NGkAAN,Erin,Walsh,ewalsh@example.com,(925) 555-6788,EVP Business Development,001g700000KkMdSAAV,Cold Call,Multnomah,OR
003g700000F6NGlAAN,Ed,Hennessy,ehennessy@example.com,(699) 555-3781,Owner,001g700000KkMdTAAV,Marketing Event,Jefferson,TX
003g700000F6NGmAAN,Jamie,Green,jgreen@example.com,(537) 555-7796,Account Executive,001g700000KkMdUAAV,Marketing Event,San Francisco,CA
003g700000F6NGnAAN,Robert,Fontana,rfontana@example.com,(226) 555-5980,CEO,001g700000KkMdVAAV,Cold Call,Multnomah,OR
003g700000F6NGoAAN,Peter,Foss,pfoss@example.com,(453) 555-8461,"SVP, Administration and Finance",001g700000KkMdVAAV,Social Media,Multnomah,OR
003g700000F6NGpAAN,Martin,Woodson,wmartin@example.com,(750) 555-8377,"VP, Product Management",001g700000KkMdVAAV,Social Media,Multnomah,OR
003g700000F6NGqAAN,Richard,O'Brien Jr,robrien@example.com,(726) 555-5626,Chief Executive Officer,001g700000KkMdVAAV,Cold Call,Multnomah,OR
003g700000F6NGrAAN,Joseph,Gillespie,jgillespie@example.com,(323) 555-2642,Chief Marketing Officer,001g700000KkMdVAAV,Referral,Multnomah,OR
003g700000F6NGsAAN,Michelle,Green,mgreen@example.com,(280) 555-9701,Senior Vice President-Operations,001g700000KkMdVAAV,Cold Call,Multnomah,OR
003g700000F6NGtAAN,Bjorn,Lundgren,bolson@example.com,(373) 555-9342,Account Executive,001g700000KkMdWAAV,Cold Call,Dallas,TX
003g700000F6NGuAAN,Judy,Odom,jodom@example.com,(689) 555-3077,Sales Executive,001g700000KkMdXAAV,Social Media,New Hanover,NC
003g700000F6NGvAAN,Bill,Blau,bblau@example.com,(867) 555-2951,"VP, IT Operations",001g700000KkMdYAAV,Cold Call,San Francisco,CA
003g700000F6NGwAAN,Ron,Reid,rreid@example.com,(935) 555-8160,"Director, Consulting",001g700000KkMdZAAV,Referral,San Diego,CA
003g700000F6NGxAAN,Jeff,Blay,jblay@example.com,(487) 555-4995,Enterprise Sales Manager,001g700000KkMdaAAF,Cold Call,Alameda,CA
003g700000F6NGyAAN,Lisa,Jones,ljones@example.com,(904) 555-4358,Director of Public Relations,001g700000KkMdbAAF,Referral,Denver,CO
003g700000F6NGzAAN,Derek,Rose,drose@example.com,(575) 555-2613,Credit Manager,001g700000KkMdcAAF,Social Media,King,WA
003g700000F6NH0AAN,Laura,Rossi,lrossi@example.com,(611) 555-1661,"Manager, Sales Operations",001g700000KkMddAAF,Referral,Genève,
003g700000F6NH1AAN,Chris,Templey,ctempley@example.com,(874) 555-9359,VP of Sales,001g700000KkMdeAAF,Cold Call,Delaware,PA
003g700000F6NH2AAN,Barry,Brown,bbrown@example.com,(319) 555-0197,Account Executive,001g700000KkMdfAAF,Social Media,Orlando,Florida
003g700000F6NH3AAN,Sarah,Jeffries,sjeffries@example.com,(296) 555-7307,"SVP, Marketing Strategy",001g700000KkMdgAAF,Marketing Event,King,WA
003g700000F6NH4AAN,Ryan,Gray,rgray@example.com,(266) 555-4756,Consulting Practice Director,001g700000KkMdhAAF,Referral,Baltimore,MD
003g700000F6NH5AAN,Jan,Perkins,jperkins@example.com,(767) 555-8343,CFO,001g700000KkMdiAAF,Referral,Friedensburg,PA
003g700000F6NH6AAN,Bonnie,Barra,bbarra@example.com,(261) 555-6229,EVP Business Development,001g700000KkMdjAAF,Referral,San Miguel,CA
003g700000F6NH7AAN,Bruce,Watkins,bwatkins@example.com,(631) 555-8821,CEO,001g700000KkMdkAAF,Marketing Event,Stevens Point,WI
003g700000F6NH8AAN,Bradley,Harmon,bharmon@example.com,(261) 555-6425,EVP Business Development,001g700000KkMdlAAF,Marketing Event,Wichita,KS
003g700000F6NH9AAN,Sandy,Jones,sjones@example.com,(261) 555-3205,EVP Business Development,001g700000KkMdmAAF,Referral,Wichita,KS
003g700000F6NHAAA3,Doug,Hart,dhart@example.com,(847) 555-3116,"EVP, Business Development",001g700000KkMdnAAF,Social Media,Wichita,KS
003g700000F6NHBAA3,Mary,McDaniel,mmcdaniel@example.com,(866) 555-7014,Regional Vice President,001g700000KkMdoAAF,Cold Call,San Francisco,CA
003g700000F6NHCAA3,Greg,Walker,gwalker@example.com,(847) 555-7858,Asset Manager,001g700000KkMdoAAF,Marketing Event,Wichita,KS
003g700000F6NHDAA3,Daryl,Distributor,ddistributor@example.com,(951) 555-6041,Sales Executive,001g700000KkMdpAAF,Referral,Riverside,CA
003g700000F6NHEAA3,Steve,Ishikawa,sishikawa@example.com,(674) 555-7660,VP of Operations,001g700000KkMdqAAF,Cold Call,Shelby,TN
003g700000F6NHFAA3,Chris,Friedman,cfriedman@example.com,(227) 555-9079,General Counsel,001g700000KkMdqAAF,Marketing Event,Shelby,TN
003g700000F6NHGAA3,Brenda,Mcclure,bmcclure@example.com,(415) 555-4922,Senior VP of Strategy,001g700000KkMdqAAF,Social Media,Shelby,TN
003g700000F6NHHAA3,Thomas,Green,tgreen@example.com,(639) 555-1713,CFO,001g700000KkMdqAAF,Social Media,Shelby,TN
003g700000F6NHIAA3,Danielle,Hauck,dhauck@example.com,(219) 555-1644,Sales Manager,001g700000KkMdqAAF,Marketing Event,Shelby,TN
003g700000F6NHJAA3,George,Mazzotta,gmazzotta@example.com,(520) 555-5807,Chief Financial Officer,001g700000KkMdqAAF,Data.com,Shelby,TN
003g700000F6NHKAA3,Patricia,Feager,pfeager@example.com,(423) 555-2615,CEO,001g700000KkMdqAAF,Referral,Shelby,TN
003g700000F6NHLAA3,Arthur,Song,asong@example.com,(772) 555-5429,Financial Controller,001g700000KkMdqAAF,Social Media,Shelby,TN
003g700000F6NHMAA3,Mark,Metz,mmetz@example.com,(747) 555-0100,Chief Executive Officer,001g700000KkMdrAAF,Cold Call,San Francisco,CA
003g700000F6NHNAA3,James,Weiss,jweiss@example.com,(631) 555-8643,Chief Information Officer,001g700000KkMdrAAF,Social Media,Santa Clara,CA
003g700000F6NHOAA3,Keith,Lopez,klopez@example.com,(528) 555-1170,Marketing Manager,001g700000KkMdrAAF,Cold Call,Santa Clara,CA
003g700000F6NHPAA3,Al,Miller,amiller@example.com,(879) 555-6333,Director of Purchasing,001g700000KkMdrAAF,Referral,Santa Clara,CA
003g700000F6NHQAA3,Sean,Murphy,smurphy@example.com,(576) 555-1964,Program Director,001g700000KkMdrAAF,Social Media,Santa Clara,CA
003g700000F6NHRAA3,Jeff,Kane,jkane@example.com,(385) 555-1733,VP of Finance,001g700000KkMdrAAF,Referral,Santa Clara,CA
003g700000F6NHSAA3,Stephanie,Curran,scurran@example.com,(690) 555-3122,VP of Strategy,001g700000KkMdrAAF,Cold Call,Santa Clara,CA
003g700000F6NHTAA3,Kathy,Fitzpatrick,kfitzpatrick@example.com,(231) 555-6665,"Director, Human Resources",001g700000KkMdrAAF,Referral,Foster City,CA
003g700000F6NHUAA3,Ed,Flachbarth,eflachbarth@example.com,(475) 555-2054,Administrative Assistant,001g700000KkMdrAAF,Referral,Santa Clara,CA
003g700000F6NHVAA3,Robert,Janzen,rjanzen@example.com,(858) 555-0100,Customer,001g700000KkMdsAAF,Cold Call,Wichita,KS
003g700000F6NHWAA3,Heath,Axworth,haxworth@example.com,(415) 876-5544,Customer,001g700000KkMdtAAF,Referral,,
003g700000F6NHXAA3,Duncan,Macintosh,dmacintosh@example.com,(415) 777-8888,Customer,001g700000KkMduAAF,Marketing Event,,
003g700000F6NHYAA3,Lance,Gonzales,lgonzales@example.com,(925) 555-8844,Customer,001g700000KkMdvAAF,Social Media,,
003g700000F6NHZAA3,Gabe,Hoskins,ghoskins@example.com,(925) 855-6666,Customer,001g700000KkMdwAAF,Marketing Event,,
003g700000F6NHaAAN,Robert,Simpson,rsimpson@example.com,(530) 755-8425,Customer,001g700000KkMdxAAF,Data.com,,
003g700000F6NHbAAN,Mike,Garcia,mgarcia@example.com,(415) 555-1212,Customer,001g700000KkMdyAAF,Marketing Event,,
003g700000F6NHcAAN,Mark,Smith,msmith@example.com,(650) 555-6652,Customer,001g700000KkMdzAAF,Referral,,
003g700000F6NHdAAN,Robert,Weiss,rweiss@example.com,(203) 555-2503,Customer,001g700000KkMe0AAF,,,
003g700000F6NHeAAN,Peter,Houston,phouston@example.com,(415) 555-4707,Director of Engineering,001g700000KkMe1AAF,Referral,Cook,IL
003g700000F6NHfAAN,Troy,Bullock,tbullock@example.com,(704) 555-7526,VP of Sales,001g700000KkMe2AAF,Marketing Event,Wichita,KS
003g700000F6NHgAAN,Mike,Malmin,mmalmin@example.com,(317) 555-6312,General Counsel,001g700000KkMe3AAF,Referral,Wichita,KS
003g700000F6NHhAAN,Kari,Rende,krende@example.com,(630) 555-4403,Director of Operations,001g700000KkMe4AAF,Social Media,Wichita,KS
003g700000F6NHiAAN,Jon,Allegri,jallegri@example.com,(813) 555-5220,Finance Director,001g700000KkMe5AAF,Social Media,Wichita,KS
003g700000F6NHjAAN,Niki,Sullivan,nsullivan@example.com,(702) 555-3769,Director of Human Resources,001g700000KkMe6AAF,Cold Call,Wichita,KS
003g700000F6NHkAAN,Chip,Colli,ccolli@example.com,(206) 555-7855,Commercial Director,001g700000KkMe7AAF,Marketing Event,Wichita,KS
003g700000F6NHlAAN,Bob,Warkentine,bwarkentine@example.com,(646) 555-2296,"Director, Customer Service",001g700000KkMe8AAF,Referral,Wichita,KS
003g700000F6NHmAAN,Steve,Sutherland,ssutherland@example.com,(608) 555-3399,Head of Operations,001g700000KkMe9AAF,Social Media,Wichita,KS
003g700000F6NHnAAN,Benjamin,Young,byoung@example.com,(713) 555-2977,EVP Business Development,001g700000KkMeAAAV,Social Media,Wichita,KS
003g700000F6NHoAAN,Nicole,Grace,ngrace@example.com,(203) 555-2801,"EVP, Business Development",001g700000KkMeBAAV,Referral,Wichita,KS
003g700000F6NHpAAN,Unknown,Customer,,,,001g700000KkMeCAAV,Social Media,,
003g700000F6NHqAAN,Tammy,Baxter,tbaxter@example.com,(415) 555-3930,"VP, Supply Chain",001g700000KkMeDAAV,Social Media,San Francisco,CA
003g700000F6NHrAAN,Russell,Hartman,whardin@example.com,(510) 555-5500,Customer,001g700000KkMeEAAV,Social Media,,
003g700000F6NHsAAN,Mike,Welch,mwelch@example.com,(510) 555-0058,Customer,001g700000KkMeFAAV,Referral,,
003g700000F6NHtAAN,Karen,Wells,kwells@example.com,(650) 846-4455,Customer,001g700000KkMeGAAV,Referral,,
003g700000F6NHuAAN,Mina,Passini,mpassini@example.com,(415) 555-1414,Customer,001g700000KkMeHAAV,Referral,,
003g700000F6NHvAAN,Stacy,McNeil,smcneil@example.com,(530) 555-8870,Customer,001g700000KkMeIAAV,Referral,,
003g700000F6NHwAAN,Deanna,Collins,dcollins@example.com,(266) 555-2339,Customer,001g700000KkMeJAAV,Referral,,
003g700000F6NHxAAN,Andy,Peterson,apeterson@example.com,(310) 555-3983,Customer,001g700000KkMeKAAV,Cold Call,,
003g700000F6NHyAAN,Anne,Frost,afrost@example.com,(415) 555-2110,,001g700000KkMeLAAV,Social Media,San Francisco,CA
003g700000F6NHzAAN,Acme,Dispatcher,acme.dispatcher@example.com,(794) 555-0153,Contractor Dispatcher,001g700000KkMdAAAV,,San Mateo,CA
003g700000F6NI0AAN,Zach,Acme,zach.acme@example.com,(794) 555-0153,Lead Technician,001g700000KkMdAAAV,,San Mateo,CA
003g700000F6NI1AAN,Dan,Fitzgerald,dfitzgerald112@example.com,(764) 555-9091,SVP of Sales,001g700000KkMeMAAV,,Oakland,CA
003g700000F6NI2AAN,B2BGuest,User,b2bguest@example.com,,,001g700000KkMeNAAV,,,
003g700000F6NI3AAN,Scott,Smith,ssmith@example.com,(502) 555-4387,Chief Operating Officer,001g700000KkMeOAAV,Website,Louisville,CO
003g700000F6NI4AAN,Tony,Piazza,tpiazza@example.com,(502) 555-4387,Director of Finance,001g700000KkMeOAAV,Marketing Event,Louisville,CO
003g700000F6NI5AAN,Stewart,Clink,sclink@example.com,(502) 555-4387,VP of Sales,001g700000KkMeOAAV,Referral,Louisville,CO
003g700000F6NI6AAN,Carol,Tezak,ctezak@example.com,(415) 555-1212,CFO,001g700000KkMd7AAF,Marketing Event,San Francisco,CA
003g700000F6NI7AAN,Oscar,Tran,otran@example.com,(415) 555-1212,CTO,001g700000KkMd7AAF,Marketing Event,San Francisco,CA
003g700000F6NI8AAN,Melanie,Lexington,mlexington@example.com,(415) 555-1212,CSO,001g700000KkMd7AAF,Marketing Event,San Francisco,CA
003g700000FK3vZAAT,Linda,Davis,linda.davis17@nextgendigit.com,,CTO,,,Dayton,Ohio
003g700000FK3vaAAD,Karen,Jones,karen.jones27@keystoneinco.com,,CTO,,,Dayton,Ohio
003g700000FK3vbAAD,Jennifer,Thomas,jennifer.thomas89@keystoneinco.com,,Director Marketing,,,Dayton,Ohio
003g700000FK3vcAAD,Mary,Moore,mary.moore97@metaflowinco.com,,COO,,,Akron,Ohio
003g700000FK3vdAAD,Richard,Brown,richard.brown5@luminaicorpo.com,,VP Sales,,,Toledo,Ohio
003g700000FK3veAAD,Linda,Rodriguez,linda.rodriguez6@vertexpartne.com,,Director Marketing,,,Cleveland,Ohio
003g700000FK3vfAAD,Karen,Harris,karen.harris2@vertexpartne.com,,Director Marketing,,,Cleveland,Ohio
003g700000FK3vgAAD,Linda,Thompson,linda.thompson27@vertexpartne.com,,CEO,,,Cleveland,Ohio
003g700000FK3vhAAD,Barbara,Harris,barbara.harris45@vertexpartne.com,,VP Sales,,,Cleveland,Ohio
003g700000FK3viAAD,Elizabeth,Lewis,elizabeth.lewis36@globalsoluti.com,,Head of Product,,,Cincinnati,Ohio
003g700000FK3vjAAD,William,Jackson,william.jackson94@metaflowcorp.com,,CEO,,,Dayton,Ohio
003g700000FK3vkAAD,Paul,Lee,paul.lee9@metaflowcorp.com,,Director Marketing,,,Dayton,Ohio
003g700000FK3vlAAD,Michelle,Smith,michelle.smith68@metaflowcorp.com,,CEO,,,Dayton,Ohio
003g700000FK3vmAAD,Christopher,Garcia,christopher.garcia97@pinnaclesyst.com,,VP Sales,,,Cincinnati,Ohio
003g700000FK3vnAAD,Michael,Miller,michael.miller65@pinnaclesyst.com,,CMO,,,Cincinnati,Ohio
003g700000FK3voAAD,Michelle,Garcia,michelle.garcia57@corelogiccor.com,,Director Marketing,,,Cleveland,Ohio
003g700000FK3vpAAD,Barbara,Wilson,barbara.wilson49@corelogiccor.com,,COO,,,Cleveland,Ohio
003g700000FK3vqAAD,Susan,Jackson,susan.jackson30@corelogiccor.com,,COO,,,Cleveland,Ohio
003g700000FK3vrAAD,Daniel,Brown,daniel.brown60@atlasmanufac.com,,Director Marketing,,,Akron,Ohio
003g700000FK3vsAAD,Emily,Wilson,emily.wilson91@globalsoluti.com,,VP Engineering,,,Cincinnati,Ohio
003g700000FK3vtAAD,Donna,Lewis,donna.lewis6@globalsoluti.com,,Director Marketing,,,Cincinnati,Ohio
003g700000FK3vuAAD,Emily,Brown,emily.brown50@luminaicorpo.com,,VP Engineering,,,Cleveland,Ohio
003g700000FK3vvAAD,Ashley,Thompson,ashley.thompson95@luminaicorpo.com,,VP Engineering,,,Cleveland,Ohio
003g700000FK3vwAAD,Steven,Davis,steven.davis71@luminaicorpo.com,,COO,,,Cleveland,Ohio
003g700000FK3vxAAD,Margaret,Miller,margaret.miller9@atlasmanufac.com,,CMO,,,Cleveland,Ohio
003g700000FK3vyAAD,Nancy,Garcia,nancy.garcia2@atlasmanufac.com,,CMO,,,Cleveland,Ohio
003g700000FK3vzAAD,Michael,Anderson,michael.anderson57@atlasmanufac.com,,Director Marketing,,,Cleveland,Ohio
003g700000FK3w0AAD,Elizabeth,Anderson,elizabeth.anderson52@gridpointinc.com,,Director Marketing,,,Akron,Ohio
003g700000FK3w1AAD,John,Wilson,john.wilson26@pinnaclesyst.com,,Head of Product,,,Akron,Ohio
003g700000FK3w2AAD,Richard,Thompson,richard.thompson52@pinnaclesyst.com,,Director Marketing,,,Akron,Ohio
003g700000FK3w3AAD,Margaret,Lewis,margaret.lewis64@nextgendigit.com,,VP Engineering,,,Dayton,Ohio
003g700000FK3w4AAD,Michelle,Lee,michelle.lee35@nextgendigit.com,,COO,,,Dayton,Ohio
003g700000FK3w5AAD,Andrew,Harris,andrew.harris78@techcorpcorp.com,,COO,,,Toledo,Ohio
003g700000FK3w6AAD,Emily,Jackson,emily.jackson36@techcorpcorp.com,,CTO,,,Toledo,Ohio
003g700000FK3w7AAD,Ashley,Brown,ashley.brown16@techcorpcorp.com,,VP Engineering,,,Toledo,Ohio
003g700000FK3w8AAD,Emily,Davis,emily.davis81@novatechllco.com,,CTO,,,Cincinnati,Ohio
003g700000FK3w9AAD,Mary,Brown,mary.brown95@novatechllco.com,,VP Sales,,,Cincinnati,Ohio
003g700000FK3wAAAT,John,Moore,john.moore87@novatechllco.com,,VP Sales,,,Cincinnati,Ohio
003g700000FK3wBAAT,Barbara,Anderson,barbara.anderson78@novatechllco.com,,Head of Product,,,Cincinnati,Ohio
003g700000FK3wCAAT,Karen,Thompson,karen.thompson80@nextgendigit.com,,Director Marketing,,,Columbus,Ohio
003g700000FK3wDAAT,John,Harris,john.harris97@nextgendigit.com,,CMO,,,Columbus,Ohio
003g700000FK3wEAAT,Richard,Martinez,richard.martinez85@pinnaclesyst.com,,CMO,,,Akron,Ohio
003g700000FK3wFAAT,Emily,Jackson,emily.jackson34@pinnaclesyst.com,,Head of Product,,,Akron,Ohio
003g700000FK3wGAAT,Joshua,Martin,joshua.martin3@pinnaclesyst.com,,VP Sales,,,Akron,Ohio
003g700000FK3wHAAT,Margaret,Brown,margaret.brown50@pinnaclesyst.com,,CMO,,,Akron,Ohio
003g700000FK3wIAAT,Anthony,Taylor,anthony.taylor59@gridpointllc.com,,VP Sales,,,Dayton,Ohio
003g700000FK3wJAAT,Robert,Garcia,robert.garcia72@gridpointllc.com,,VP Engineering,,,Dayton,Ohio
003g700000FK3wKAAT,William,Moore,william.moore56@gridpointllc.com,,CTO,,,Dayton,Ohio
003g700000FK3wLAAT,Anthony,Moore,anthony.moore98@vertexpartne.com,,Director Marketing,,,Dayton,Ohio
003g700000FK3wMAAT,Kenneth,Harris,kenneth.harris63@vertexpartne.com,,CMO,,,Dayton,Ohio
003g700000FK3wNAAT,Andrew,Martin,andrew.martin21@vertexpartne.com,,VP Sales,,,Dayton,Ohio
003g700000FK3wOAAT,Thomas,Moore,thomas.moore76@nextgendigit.com,,COO,,,Toledo,Ohio
003g700000FK3wPAAT,Carol,Harris,carol.harris46@nextgendigit.com,,VP Engineering,,,Toledo,Ohio
003g700000FK3wQAAT,Daniel,Johnson,daniel.johnson4@nextgendigit.com,,VP Sales,,,Toledo,Ohio
003g700000FK3wRAAT,David,Wilson,david.wilson45@nextgendigit.com,,VP Sales,,,Toledo,Ohio
003g700000FK3wSAAT,Anthony,Brown,anthony.brown55@atlasmanufac.com,,Head of Product,,,Akron,Ohio
003g700000FK3wTAAT,Matthew,Thomas,matthew.thomas45@atlasmanufac.com,,VP Sales,,,Akron,Ohio
003g700000FK3wUAAT,Jessica,Davis,jessica.davis31@atlasmanufac.com,,VP Engineering,,,Akron,Ohio
